image,class,class_index,label,fpath
2015_00001.png,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00002.png,"['Bicycle', 'Car']","[0, 4]",0,./ExDark/Bicycle
2015_00003.png,"['Chair', 'Bicycle', 'Bus']","[0, 3, 6]",0,./ExDark/Bicycle
2015_00004.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00005.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00006.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00007.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00008.jpg,"['Bicycle', 'People']","[0, 10]",10,./ExDark/Bicycle
2015_00009.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00010.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00011.jpg,"['Bicycle', 'People']","[0, 10]",10,./ExDark/Bicycle
2015_00012.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",10,./ExDark/Bicycle
2015_00013.jpg,"['Bicycle', 'People']","[0, 10]",10,./ExDark/Bicycle
2015_00014.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00015.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00016.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00017.jpg,"['Bicycle', 'Chair']","[0, 6]",0,./ExDark/Bicycle
2015_00018.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00019.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00020.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00021.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00022.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00023.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00024.JPG,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00025.jpg,"['Bicycle', 'People']","[0, 10]",10,./ExDark/Bicycle
2015_00026.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00027.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00028.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",0,./ExDark/Bicycle
2015_00029.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00030.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00031.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00032.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00033.jpg,"['Chair', 'Bicycle', 'People']","[0, 10, 6]",0,./ExDark/Bicycle
2015_00034.jpg,"['Bicycle', 'People']","[0, 10]",10,./ExDark/Bicycle
2015_00035.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00036.jpg,"['Bicycle', 'Motorbike', 'People']","[0, 9, 10]",0,./ExDark/Bicycle
2015_00037.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00038.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00039.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00040.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",4,./ExDark/Bicycle
2015_00041.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00042.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00043.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00044.jpg,"['Bicycle', 'Dog', 'People']","[0, 8, 10]",0,./ExDark/Bicycle
2015_00045.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00046.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00047.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",0,./ExDark/Bicycle
2015_00048.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",0,./ExDark/Bicycle
2015_00049.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00050.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00051.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00052.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00053.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00054.jpg,"['Bicycle', 'Table', 'People']","[0, 10, 11]",0,./ExDark/Bicycle
2015_00055.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00056.jpg,"['Bicycle', 'Motorbike', 'Table']","[0, 9, 11]",0,./ExDark/Bicycle
2015_00057.jpg,"['Bicycle', 'Car']","[0, 4]",0,./ExDark/Bicycle
2015_00058.jpg,"['Bicycle', 'People']","[0, 10]",0,./ExDark/Bicycle
2015_00059.jpg,['Bicycle'],[0],0,./ExDark/Bicycle
2015_00060.jpg,"['Bicycle', 'Car']","[0, 4]",0,./ExDark/Bicycle
2015_00061.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",0,./ExDark/Bicycle
2015_00062.jpg,"['Bicycle', 'Car', 'People']","[0, 10, 4]",0,./ExDark/Bicycle
